list,list_idx,list_id,item_type,pv_modality,correct_response_pv,concept,property,item_id,wm_modality,wm_load,wm_instruction,correct_response_wm,son,sonb,image1,image2,image3,image1b,image2b,image3b
B,0,B_0,critical,vi,True,BOOMERANG,angled,8.0,au,3,You will hear 3 sounds,Same,40.wav,40.wav,,,,,,
B,1,B_1,critical,vi,True,BRICK,rectangular,9.0,au,3,You will hear 3 sounds,Same,39.wav,39.wav,,,,,,
B,2,B_2,critical,vi,True,CELLAR,dark,10.0,au,3,You will hear 3 sounds,Same,40.wav,40.wav,,,,,,
B,3,B_3,critical,vi,True,SKY,blue,11.0,au,3,You will hear 3 sounds,Same,38.wav,38.wav,,,,,,
B,4,B_4,critical,vi,True,CEMENT,gray,12.0,au,3,You will hear 3 sounds,Same,36.wav,36.wav,,,,,,
B,5,B_5,critical,vi,True,JEWELRY,golden,7.0,au,3,You will hear 3 sounds,Same,33.wav,33.wav,,,,,,
B,6,B_6,critical,au,True,RADIO,heard,43.0,au,3,You will hear 3 sounds,Same,34.wav,34.wav,,,,,,
B,7,B_7,critical,au,True,LAUGHTER,booming,44.0,au,3,You will hear 3 sounds,Same,38.wav,38.wav,,,,,,
B,8,B_8,critical,au,True,TELEVISION,blaring,47.0,au,3,You will hear 3 sounds,Same,37.wav,37.wav,,,,,,
B,9,B_9,critical,au,True,SNORING,loud,45.0,au,3,You will hear 3 sounds,Same,36.wav,36.wav,,,,,,
B,10,B_10,critical,au,True,WHISTLE,shrill,46.0,au,3,You will hear 3 sounds,Same,35.wav,35.wav,,,,,,
B,11,B_11,critical,au,True,FLOOR,creaky,48.0,au,3,You will hear 3 sounds,Same,37.wav,37.wav,,,,,,
C,0,C_0,critical,au,True,MICROWAVE,beeping,49.0,vi,1,You will see 1 image,Same,,,e.bmp,,,e.bmp,,
C,1,C_1,critical,vi,True,RAVEN,black,18.0,vi,1,You will see 1 image,Same,,,6.bmp,,,6.bmp,,
C,2,C_2,critical,vi,True,LADYBUG,spotted,13.0,vi,1,You will see 1 image,Same,,,f.bmp,,,f.bmp,,
C,3,C_3,critical,vi,True,FILM,watched,15.0,vi,1,You will see 1 image,Same,,,7.bmp,,,7.bmp,,
C,4,C_4,critical,vi,True,FOREST,shady,16.0,vi,1,You will see 1 image,Same,,,8.bmp,,,8.bmp,,
C,5,C_5,critical,vi,True,JEWEL,shiny,17.0,vi,1,You will see 1 image,Same,,,5.bmp,,,5.bmp,,
C,6,C_6,critical,au,True,VOICE,deep,54.0,vi,1,You will see 1 image,Same,,,1.bmp,,,1.bmp,,
C,7,C_7,critical,au,True,PHONE,ringing,52.0,vi,1,You will see 1 image,Same,,,a.bmp,,,a.bmp,,
C,8,C_8,critical,au,True,CREAK,audible,51.0,vi,1,You will see 1 image,Same,,,3.bmp,,,3.bmp,,
C,9,C_9,critical,au,True,BELL,ringing,50.0,vi,1,You will see 1 image,Same,,,2.bmp,,,2.bmp,,
C,10,C_10,critical,vi,True,SQUIRREL,brown,14.0,vi,1,You will see 1 image,Same,,,b.bmp,,,b.bmp,,
C,11,C_11,critical,au,True,LION,heard,53.0,vi,1,You will see 1 image,Same,,,d.bmp,,,d.bmp,,
D,0,D_0,critical,au,True,BELL,chiming,62.0,vi,3,You will see 3 images,Same,,,k.bmp,8.bmp,l.bmp,k.bmp,8.bmp,l.bmp
D,1,D_1,critical,vi,True,TIGER,striped,30.0,vi,3,You will see 3 images,Same,,,2.bmp,6.bmp,f.bmp,2.bmp,6.bmp,f.bmp
D,2,D_2,critical,vi,True,CAULIFLOWER,white,29.0,vi,3,You will see 3 images,Same,,,1.bmp,3.bmp,9.bmp,1.bmp,3.bmp,9.bmp
D,3,D_3,critical,vi,True,TANK,camouflaged,28.0,vi,3,You will see 3 images,Same,,,3.bmp,7.bmp,10.bmp,3.bmp,7.bmp,10.bmp
D,4,D_4,critical,vi,True,SUN,blinding,27.0,vi,3,You will see 3 images,Same,,,k.bmp,l.bmp,a.bmp,k.bmp,l.bmp,a.bmp
D,5,D_5,critical,au,True,FIRE,crackling,66.0,vi,3,You will see 3 images,Same,,,10.bmp,2.bmp,6.bmp,10.bmp,2.bmp,6.bmp
D,6,D_6,critical,au,True,ELEPHANT,trumpeting,65.0,vi,3,You will see 3 images,Same,,,6.bmp,7.bmp,h.bmp,6.bmp,7.bmp,h.bmp
D,7,D_7,critical,au,True,CRY,piercing,64.0,vi,3,You will see 3 images,Same,,,l.bmp,a.bmp,e.bmp,l.bmp,a.bmp,e.bmp
D,8,D_8,critical,au,True,PIG,grunting,63.0,vi,3,You will see 3 images,Same,,,10.bmp,c.bmp,d.bmp,10.bmp,c.bmp,d.bmp
D,9,D_9,critical,vi,True,BLOOD,red,26.0,vi,3,You will see 3 images,Same,,,11.bmp,9.bmp,10.bmp,11.bmp,9.bmp,10.bmp
