id,participant_id,task,item,item_id,item_type,version,version_id,condition,trial_index,trial_id,block_id,key_press,response,correct_response,is_correct,reaction_time
2,9,PV,pv_practice_3,pv_practice_3,practice,,,o,8,pv_practice_1_3,pv_practice_1,3,False,False,True,1473.0
3,9,PV,pv_practice_1,pv_practice_1,practice,,,au,10,pv_practice_1_1,pv_practice_1,1,True,True,True,978.0
4,9,PV,pv_practice_2,pv_practice_2,practice,,,vi,12,pv_practice_1_2,pv_practice_1,3,False,False,True,913.0
5,9,PV,pv_practice_4,pv_practice_4,practice,,,o,14,pv_practice_1_4,pv_practice_1,1,True,True,True,1517.0
6,9,WM,aud_practice_1,aud_practice_1,practice,1,,au,22,aud_practice_1_1,aud_practice_1,c,Same,Same,True,2683.0
7,9,WM,aud_practice_3,aud_practice_3,practice,3,,au,28,aud_practice_1_3,aud_practice_1,c,Same,Same,True,1882.0
8,9,WM,aud_practice_2,aud_practice_2,practice,3,,au,34,aud_practice_1_2,aud_practice_1,b,Different,Different,True,269.0
9,9,WM,aud_practice_4,aud_practice_4,practice,1,,au,40,aud_practice_1_4,aud_practice_1,b,Different,Different,True,1117.0
10,9,WM,vis_practice_2,vis_practice_2,practice,3,,vi,52,vis_practice_1_2,vis_practice_1,b,Different,Different,True,2408.0
11,9,WM,vis_practice_4,vis_practice_4,practice,1,,vi,58,vis_practice_1_4,vis_practice_1,b,Different,Different,True,3434.0
12,9,WM,vis_practice_1,vis_practice_1,practice,1,,vi,64,vis_practice_1_1,vis_practice_1,b,Different,Same,False,472.0
13,9,WM,vis_practice_3,vis_practice_3,practice,3,,vi,74,vis_practice_1_3,vis_practice_1,c,Same,Same,True,1829.0
14,9,PV,p_1,p_1,practice,,,au,80,1_0,1,3,False,False,True,5597.0
15,9,WM,p_1,p_1,practice,1,,au,82,1_0,1,c,Same,Same,True,911.0
16,9,PV,p_2,p_2,practice,,,o,85,1_1,1,1,True,True,True,1841.0
17,9,WM,p_2,p_2,practice,3,,au,87,1_1,1,b,Different,Different,True,552.0
18,9,PV,p_3,p_3,practice,,,o,90,1_2,1,1,True,True,True,1298.0
19,9,WM,p_3,p_3,practice,1,,vi,92,1_2,1,b,Different,Different,True,1062.0
20,9,PV,p_4,p_4,practice,,,vi,97,1_3,1,3,False,False,True,2475.0
21,9,WM,p_4,p_4,practice,3,,vi,101,1_3,1,b,Different,Same,False,798.0
22,9,PV,10,10,critical,,,vi,104,1_0,1,1,True,True,True,1218.0
23,9,WM,10,10,critical,3,,au,106,1_0,1,c,Same,Same,True,1052.0
24,9,PV,168,168,filler,,,F,111,2_0,2,1,True,True,True,1654.0
25,9,WM,168,168,filler,1,,au,113,2_0,2,b,Different,Different,True,4201.0
26,9,PV,126,126,filler,,,vi,118,3_0,3,3,False,False,True,3272.0
27,9,WM,126,126,filler,3,,au,120,3_0,3,b,Different,Different,True,2114.0
28,10,PV,pv_practice_3,pv_practice_3,practice,,,o,8,pv_practice_1_3,pv_practice_1,3,False,False,True,1579.0
29,10,PV,pv_practice_4,pv_practice_4,practice,,,o,10,pv_practice_1_4,pv_practice_1,1,True,True,True,928.0
30,10,PV,pv_practice_1,pv_practice_1,practice,,,au,12,pv_practice_1_1,pv_practice_1,1,True,True,True,1115.0
31,10,PV,pv_practice_2,pv_practice_2,practice,,,vi,14,pv_practice_1_2,pv_practice_1,3,False,False,True,1813.0
32,10,WM,aud_practice_4,aud_practice_4,practice,1,,au,22,aud_practice_1_4,aud_practice_1,b,Different,Different,True,1142.0
33,10,WM,aud_practice_2,aud_practice_2,practice,3,,au,28,aud_practice_1_2,aud_practice_1,b,Different,Different,True,2957.0
34,10,WM,aud_practice_3,aud_practice_3,practice,3,,au,34,aud_practice_1_3,aud_practice_1,c,Same,Same,True,358.0
35,10,WM,aud_practice_1,aud_practice_1,practice,1,,au,40,aud_practice_1_1,aud_practice_1,c,Same,Same,True,764.0
36,10,WM,vis_practice_4,vis_practice_4,practice,1,,vi,48,vis_practice_1_4,vis_practice_1,b,Different,Different,True,600.0
37,10,WM,vis_practice_3,vis_practice_3,practice,3,,vi,58,vis_practice_1_3,vis_practice_1,c,Same,Same,True,575.0
38,10,WM,vis_practice_2,vis_practice_2,practice,3,,vi,68,vis_practice_1_2,vis_practice_1,b,Different,Different,True,829.0
39,10,WM,vis_practice_1,vis_practice_1,practice,1,,vi,74,vis_practice_1_1,vis_practice_1,c,Same,Same,True,997.0
40,10,PV,p_1,p_1,practice,,,au,80,1_0,1,3,False,False,True,1313.0
41,10,WM,p_1,p_1,practice,1,,au,82,1_0,1,c,Same,Same,True,910.0
42,10,PV,p_2,p_2,practice,,,o,85,1_1,1,1,True,True,True,1212.0
43,10,WM,p_2,p_2,practice,3,,au,87,1_1,1,b,Different,Different,True,1741.0
44,10,PV,p_3,p_3,practice,,,o,90,1_2,1,1,True,True,True,1968.0
45,10,WM,p_3,p_3,practice,1,,vi,92,1_2,1,b,Different,Different,True,940.0
46,10,PV,p_4,p_4,practice,,,vi,97,1_3,1,3,False,False,True,986.0
47,10,WM,p_4,p_4,practice,3,,vi,101,1_3,1,c,Same,Same,True,761.0
48,10,PV,76,76,filler,,,vi,102,1_0,1,3,False,False,True,1376.0
49,10,PV,102,102,filler,,,au,105,1_1,1,3,False,False,True,3961.0
50,10,WM,102,102,filler,1,,au,107,1_1,1,b,Different,Different,True,869.0
51,10,PV,121,121,filler,,,vi,110,1_2,1,3,False,False,True,1028.0
52,10,WM,121,121,filler,3,,au,112,1_2,1,b,Different,Different,True,4061.0
53,10,PV,104,104,filler,,,au,115,1_3,1,3,False,False,True,852.0
54,10,WM,104,104,filler,3,,au,117,1_3,1,b,Different,Different,True,364.0
55,10,PV,133,133,filler,,,au,120,1_4,1,3,False,False,True,867.0
56,10,WM,133,133,filler,1,,vi,122,1_4,1,b,Different,Different,True,639.0
57,10,PV,74,74,filler,,,vi,123,1_5,1,3,False,False,True,2687.0
58,10,PV,60,60,critical,,,au,124,1_6,1,1,True,True,True,2367.0
59,10,PV,155,155,filler,,,F,125,1_7,1,3,False,False,True,1228.0
60,10,PV,88,88,filler,,,vi,130,1_8,1,3,False,False,True,1006.0
61,10,WM,88,88,filler,3,,vi,134,1_8,1,b,Different,Different,True,423.0
62,10,PV,96,96,filler,,,au,135,1_9,1,3,False,False,True,3228.0
63,10,PV,7,7,critical,,,vi,138,1_10,1,1,True,True,True,2137.0
64,10,WM,7,7,critical,1,,vi,140,1_10,1,c,Same,Same,True,1127.0
65,10,PV,30,30,critical,,,vi,143,1_11,1,1,True,True,True,1904.0
66,10,WM,30,30,critical,1,,au,145,1_11,1,c,Same,Same,True,936.0
67,10,PV,140,140,filler,,,au,150,1_12,1,3,False,False,True,2112.0
68,10,WM,140,140,filler,3,,vi,154,1_12,1,b,Different,Different,True,664.0
69,10,PV,111,111,filler,,,vi,155,1_13,1,3,False,False,True,3452.0
70,10,PV,83,83,filler,,,vi,158,1_14,1,3,False,False,True,1768.0
71,10,WM,83,83,filler,1,,vi,160,1_14,1,c,Same,Different,False,506.0
72,10,PV,1,1,critical,,,vi,161,1_15,1,1,True,True,True,1506.0
73,10,PV,49,49,critical,,,au,166,1_16,1,1,True,True,True,4514.0
74,10,WM,49,49,critical,3,,vi,170,1_16,1,c,Same,Same,True,492.0
75,10,PV,142,142,filler,,,au,175,1_17,1,3,False,False,True,1026.0
76,10,WM,142,142,filler,3,,vi,179,1_17,1,b,Different,Different,True,873.0
77,10,PV,94,94,filler,,,au,180,1_18,1,3,False,False,True,3554.0
78,10,PV,160,160,filler,,,F,183,1_19,1,3,False,False,True,1633.0
79,10,WM,160,160,filler,1,,au,185,1_19,1,c,Same,Same,True,729.0
80,10,PV,70,70,critical,,,au,188,1_20,1,1,True,True,True,1690.0
81,10,WM,70,70,critical,3,,au,190,1_20,1,c,Same,Same,True,7270.0
82,10,PV,48,48,critical,,,au,193,1_21,1,1,True,True,True,2680.0
83,10,WM,48,48,critical,1,,vi,195,1_21,1,b,Different,Same,False,2908.0
84,10,PV,6,6,critical,,,vi,196,1_22,1,1,True,True,True,1125.0
85,10,PV,181,181,filler,,,F,199,1_23,1,1,True,True,True,1260.0
86,10,WM,181,181,filler,1,,vi,201,1_23,1,b,Different,Different,True,657.0
87,10,PV,22,22,critical,,,vi,202,1_24,1,1,True,True,True,2672.0
88,10,PV,149,149,filler,,,F,205,1_25,1,3,False,False,True,1982.0
89,10,WM,149,149,filler,1,,vi,207,1_25,1,b,Different,Same,False,321.0
90,10,PV,184,184,filler,,,F,212,1_26,1,1,True,True,True,3539.0
91,10,WM,184,184,filler,3,,vi,216,1_26,1,b,Different,Different,True,13367.0
92,10,PV,153,153,filler,,,F,221,1_27,1,3,False,False,True,1204.0
93,10,WM,153,153,filler,3,,vi,225,1_27,1,c,Same,Same,True,885.0
94,10,PV,64,64,critical,,,au,228,1_28,1,1,True,True,True,1508.0
95,10,WM,64,64,critical,1,,au,230,1_28,1,c,Same,Same,True,910.0
96,10,PV,65,65,critical,,,au,233,1_29,1,1,True,True,True,1192.0
97,10,WM,65,65,critical,1,,au,235,1_29,1,c,Same,Same,True,2020.0
98,10,PV,67,67,critical,,,au,238,1_30,1,1,True,True,True,4151.0
99,10,WM,67,67,critical,3,,au,240,1_30,1,c,Same,Same,True,780.0
100,10,PV,174,174,filler,,,F,243,1_31,1,3,False,True,False,1792.0
101,10,WM,174,174,filler,3,,au,245,1_31,1,b,Different,Different,True,376.0
102,10,PV,47,47,critical,,,au,248,1_32,1,1,True,True,True,2049.0
103,10,WM,47,47,critical,1,,vi,250,1_32,1,b,Different,Same,False,851.0
104,10,PV,144,144,filler,,,au,255,1_33,1,3,False,False,True,2710.0
105,10,WM,144,144,filler,3,,vi,259,1_33,1,b,Different,Different,True,769.0
106,10,PV,10,10,critical,,,vi,262,1_34,1,1,True,True,True,1421.0
107,10,WM,10,10,critical,1,,vi,264,1_34,1,c,Same,Same,True,2360.0
108,10,PV,119,119,filler,,,vi,267,1_35,1,3,False,False,True,2900.0
109,10,WM,119,119,filler,1,,au,269,1_35,1,b,Different,Different,True,3282.0
110,10,PV,38,38,critical,,,au,270,1_36,1,1,True,True,True,1293.0
111,10,PV,33,33,critical,,,vi,273,1_37,1,1,True,True,True,1555.0
112,10,WM,33,33,critical,3,,au,275,1_37,1,c,Same,Same,True,329.0
113,10,PV,125,125,filler,,,vi,278,1_38,1,3,False,False,True,2050.0
114,10,WM,125,125,filler,3,,au,280,1_38,1,b,Different,Different,True,1021.0
115,10,PV,118,118,filler,,,vi,283,1_39,1,3,False,False,True,2619.0
116,10,WM,118,118,filler,1,,au,285,1_39,1,b,Different,Different,True,681.0
117,10,PV,79,79,filler,,,vi,288,1_40,1,3,False,False,True,1776.0
118,10,WM,79,79,filler,1,,vi,290,1_40,1,b,Different,Different,True,535.0
119,10,PV,51,51,critical,,,au,295,1_41,1,1,True,True,True,3851.0
120,10,WM,51,51,critical,3,,vi,299,1_41,1,c,Same,Same,True,901.0
121,10,PV,16,16,critical,,,vi,304,1_42,1,1,True,True,True,2366.0
122,10,WM,16,16,critical,3,,vi,308,1_42,1,c,Same,Same,True,349.0
123,10,PV,132,132,filler,,,au,309,1_43,1,3,False,False,True,1851.0
124,10,PV,34,34,critical,,,vi,312,1_44,1,1,True,True,True,899.0
125,10,WM,34,34,critical,3,,au,314,1_44,1,c,Same,Same,True,100.0
126,10,PV,91,91,filler,,,au,315,1_45,1,3,False,False,True,1296.0
127,10,PV,42,42,critical,,,au,316,1_46,1,1,True,True,True,1376.0
128,10,PV,163,163,filler,,,F,319,1_47,1,3,False,False,True,1129.0
129,10,WM,163,163,filler,3,,au,321,1_47,1,b,Different,Same,False,971.0
130,10,PV,55,55,critical,,,au,322,1_48,1,1,True,True,True,1529.0
131,10,PV,19,19,critical,,,vi,323,1_49,1,1,True,True,True,3881.0
132,10,PV,14,14,critical,,,vi,328,1_50,1,1,True,True,True,1221.0
133,10,WM,14,14,critical,3,,vi,332,1_50,1,c,Same,Same,True,887.0
134,10,PV,77,77,filler,,,vi,333,1_51,1,1,True,False,False,1333.0
135,10,PV,148,148,filler,,,F,334,1_52,1,3,False,False,True,1198.0
136,10,PV,103,103,filler,,,au,337,1_53,1,3,False,False,True,1030.0
137,10,WM,103,103,filler,3,,au,339,1_53,1,b,Different,Different,True,1391.0
138,10,PV,81,81,filler,,,vi,342,1_54,1,3,False,False,True,3889.0
139,10,WM,81,81,filler,1,,vi,344,1_54,1,b,Different,Different,True,1062.0
140,10,PV,177,177,filler,,,F,345,1_55,1,1,True,True,True,1279.0
141,10,PV,170,170,filler,,,F,346,1_56,1,1,True,True,True,1212.0
142,10,PV,29,29,critical,,,vi,349,1_57,1,1,True,True,True,1065.0
143,10,WM,29,29,critical,1,,au,351,1_57,1,c,Same,Same,True,1184.0
144,10,PV,167,167,filler,,,F,354,1_58,1,1,True,True,True,2655.0
145,10,WM,167,167,filler,1,,au,356,1_58,1,b,Different,Different,True,616.0
146,10,PV,115,115,filler,,,vi,359,1_59,1,1,True,False,False,3711.0
147,10,WM,115,115,filler,1,,au,361,1_59,1,b,Different,Different,True,3781.0
148,10,PV,175,175,filler,,,F,366,2_0,2,1,True,True,True,2200.0
149,10,WM,175,175,filler,3,,au,368,2_0,2,b,Different,Different,True,306.0
150,10,PV,56,56,critical,,,au,369,2_1,2,1,True,True,True,1505.0
151,10,PV,40,40,critical,,,au,370,2_2,2,1,True,True,True,917.0
152,10,PV,146,146,filler,,,F,371,2_3,2,3,False,False,True,1493.0
153,10,PV,173,173,filler,,,F,374,2_4,2,1,True,True,True,2245.0
154,10,WM,173,173,filler,1,,au,376,2_4,2,b,Different,Different,True,1417.0
155,10,PV,43,43,critical,,,au,379,2_5,2,1,True,True,True,997.0
156,10,WM,43,43,critical,1,,vi,381,2_5,2,c,Same,Same,True,914.0
157,10,PV,161,161,filler,,,F,384,2_6,2,3,False,False,True,1056.0
158,10,WM,161,161,filler,1,,au,386,2_6,2,c,Same,Same,True,1845.0
159,10,PV,35,35,critical,,,vi,389,2_7,2,1,True,True,True,1093.0
160,10,WM,35,35,critical,3,,au,391,2_7,2,c,Same,Same,True,845.0
161,10,PV,110,110,filler,,,vi,392,2_8,2,3,False,False,True,3040.0
162,10,PV,8,8,critical,,,vi,395,2_9,2,1,True,True,True,2134.0
163,10,WM,8,8,critical,1,,vi,397,2_9,2,b,Different,Same,False,1472.0
164,10,PV,129,129,filler,,,au,398,2_10,2,3,False,False,True,2234.0
165,10,PV,18,18,critical,,,vi,403,2_11,2,1,True,True,True,1703.0
166,10,WM,18,18,critical,3,,vi,407,2_11,2,c,Same,Same,True,187.0
167,10,PV,120,120,filler,,,vi,410,2_12,2,3,False,False,True,992.0
168,10,WM,120,120,filler,1,,au,412,2_12,2,b,Different,Different,True,612.0
169,10,PV,171,171,filler,,,F,415,2_13,2,1,True,True,True,87908.0
170,10,WM,171,171,filler,3,,au,417,2_13,2,b,Different,Different,True,2757.0
171,10,PV,151,151,filler,,,F,420,2_14,2,3,False,False,True,1865.0
172,10,WM,151,151,filler,1,,vi,422,2_14,2,b,Different,Same,False,4061.0
173,10,PV,24,24,critical,,,vi,423,2_15,2,1,True,True,True,1252.0
