id,participant_id,scale,item,item_id,item_type,version,condition,trial_index,response,reaction_time
1,7,IRQ,19,19,critical,,,130,2,8295.0
2,7,IRQ,4,4,critical,,,131,3,5109.0
3,7,IRQ,12,12,critical,,,132,4,4726.0
4,7,IRQ,1,1,critical,,,133,3,5080.0
5,7,IRQ,8,8,critical,,,134,3,5519.0
6,7,IRQ,7,7,critical,,,135,2,4124.0
7,9,IRQ,7,7,critical,,,123,2,7217.0
8,9,IRQ,21,21,critical,,,124,4,4117.0
9,9,IRQ,25,25,critical,,,125,1,10556.0
10,10,IRQ,7,7,critical,,,900,2,3423.0
11,10,IRQ,37,37,catch,,,901,1,3843.0
12,10,IRQ,23,23,critical,,,902,2,2879.0
13,10,IRQ,14,14,critical,,,903,5,2627.0
14,10,IRQ,8,8,critical,,,904,2,3519.0
15,10,IRQ,39,39,catch,,,905,1,2134.0
16,10,IRQ,12,12,critical,,,906,5,3190.0
17,10,IRQ,5,5,critical,,,907,3,7076.0
18,10,IRQ,22,22,critical,,,908,5,3300.0
19,10,IRQ,15,15,critical,,,909,4,3210.0
20,10,IRQ,34,34,critical,,,910,4,7407.0
21,10,IRQ,17,17,critical,,,911,5,2365.0
22,10,IRQ,19,19,critical,,,912,1,2780.0
23,10,IRQ,36,36,critical,,,913,5,3719.0
24,10,IRQ,11,11,critical,,,914,5,4412.0
25,10,IRQ,13,13,critical,,,915,5,3491.0
26,10,IRQ,31,31,critical,,,916,3,3202.0
27,10,IRQ,25,25,critical,,,917,1,4288.0
28,10,IRQ,16,16,critical,,,918,5,4013.0
29,10,IRQ,30,30,critical,,,919,5,5378.0
30,10,IRQ,26,26,critical,,,920,2,3261.0
31,10,IRQ,35,35,critical,,,921,5,2659.0
32,10,IRQ,20,20,critical,,,922,5,2590.0
33,10,IRQ,21,21,critical,,,923,5,2322.0
34,10,IRQ,4,4,critical,,,924,5,2748.0
35,10,IRQ,27,27,critical,,,925,5,4292.0
36,10,IRQ,32,32,critical,,,926,4,4619.0
37,10,IRQ,18,18,critical,,,927,5,3213.0
38,10,IRQ,28,28,critical,,,928,5,4602.0
39,10,IRQ,3,3,critical,,,929,3,15062.0
40,10,IRQ,6,6,critical,,,930,1,9961.0
41,10,IRQ,29,29,critical,,,931,3,3371.0
42,10,IRQ,2,2,critical,,,932,3,7847.0
43,10,IRQ,38,38,catch,,,933,5,2245.0
44,10,IRQ,1,1,critical,,,934,4,6283.0
45,10,IRQ,33,33,critical,,,935,2,3676.0
46,10,IRQ,24,24,critical,,,936,2,3389.0
47,10,IRQ,10,10,critical,,,937,3,7629.0
48,10,IRQ,9,9,critical,,,938,3,2954.0
49,14,IRQ,7,7,critical,,,115,2,2132.0
50,14,IRQ,33,33,critical,,,116,4,1984.0
51,14,IRQ,5,5,critical,,,117,3,959.0
52,14,IRQ,27,27,critical,,,118,1,977.0
53,14,IRQ,24,24,critical,,,119,5,1067.0
54,14,IRQ,22,22,critical,,,120,3,1320.0
55,15,IRQ,22,22,critical,,,900,3,5447.0
56,15,IRQ,15,15,critical,,,901,4,5421.0
57,15,IRQ,34,34,critical,,,902,3,5268.0
58,15,IRQ,33,33,critical,,,903,4,4520.0
59,15,IRQ,39,39,catch,,,904,1,4077.0
60,15,IRQ,24,24,critical,,,905,3,5761.0
61,15,IRQ,20,20,critical,,,906,1,3777.0
62,15,IRQ,4,4,critical,,,907,4,5492.0
63,15,IRQ,25,25,critical,,,908,2,4361.0
64,15,IRQ,29,29,critical,,,909,1,5572.0
65,15,IRQ,37,37,catch,,,910,1,4353.0
66,15,IRQ,19,19,critical,,,911,2,4381.0
67,15,IRQ,8,8,critical,,,912,3,3358.0
68,15,IRQ,23,23,critical,,,913,2,3561.0
69,15,IRQ,10,10,critical,,,914,2,3675.0
70,15,IRQ,17,17,critical,,,915,3,9309.0
71,15,IRQ,3,3,critical,,,916,3,2293.0
72,15,IRQ,26,26,critical,,,917,2,5188.0
73,15,IRQ,27,27,critical,,,918,2,8178.0
74,15,IRQ,14,14,critical,,,919,4,4642.0
